IdUnidade,Sigla,Descricao,SinProtocolo,SinArquivamento,SinOuvidoria
110001924,.,.,N,N,N
110030648,15 RPM/70BPM/80Cia-POC,Posto Orgânico 80ª CIA/70ºBPM,N,N,N
110000001,ADM-SEI,Unidade de Administração - favor não enviar processo,S,S,S
110013954,AGE/ACORDOAMM,Unidade destinada aos processos de Acordo da AMM,N,N,N
110010070,AGE/ACS,Assessoria de Comunicação Social,N,N,N
110001373,AGE/ADVOCACIA/ADJ1,Gabinete do Advogado Adjunto 1,N,N,N
110001374,AGE/ADVOCACIA/ADJ2,Gabinete do Advogado Adjunto 2,N,N,N
110000721,AGE/ADVOCACIA/ADVG,Gabinete,N,N,N
110000718,AGE/AE,Assessoria Estratégica,N,N,N
110004857,AGE/AJM,Assessoria Justiça Militar,N,N,N
110005031,AGE/ARDF,Assessoria de Representação no Distrito Federal,N,N,N
110004935,AGE/ARECONTAGEM,Advocacia Regional de Contagem,N,N,N
110004346,AGE/AREDIVESCSETE,AGE/Regional da Dívida Ativa não Tributária - ARE Divinópolis,N,N,N
110004124,AGE/AREGOVALADARES- DESATIVADO,AGE GOVERNADOR VALADARES Enviar para a Nova UNIDADE : AGE/AREIPATINGAEGOVVALADARES,N,N,N
110004122,AGE/AREIPAEVALADARES,AGE/Regional da CET - ARE Ipatinga e Governador Valadares,N,N,N
110004071,AGE/AREJFORAESCMURIA,AGE/Regional da Dívida Ativa Tributária - ARE Juiz de Fora,N,N,N
110004999,AGE/AREMOC,AGE/Regional da Unimontes e Usucapião - ARE Montes Claros,N,N,N
110004898,AGE/AREUBERABA,Advocacia Regional de Uberaba,N,N,N
110004115,AGE/AREULAESCPATOS,ARE Uberlândia e ESC Patos de Minas,N,N,N
110004105,AGE/AREVARESCPOPOCPA,AGE/Regional de Contratos Temporários  - ARE Varginha,N,N,N
110004897,AGE/ARM,Assessoria de Recepção de Mandados,N,N,N
110005729,AGE/CAP,Conselho de Administração de Pessoal,N,N,N
110008353,AGE/CECBF,Centro de Estudos Celso Barbi Filho,N,N,N
110000722,AGE/CJ,Consultoria Jurídica,N,N,N
110031755,AGE/CJ/CPTIC,"Câmara Permanente de Pesquisa, Ciência, Tecnologia e Inovação",N,N,N
110001739,AGE/CJ/NAJ_ARMBH_AJ,Assessoria Jurídica,N,N,N
110016310,AGE/CJ/NAJ_ARMVA_PJ,Procuradoria,N,N,N
110000767,AGE/CJ/NAJ_ARSAE_PJ,Procuradoria,N,N,N
110033616,AGE/CJ/NAJ_ARTEMIG_AJ,Assessoria Jurídica,N,N,N
110022391,AGE/CJ/NAJ_CBMMG_AJ,Consultoria Jurídica,N,N,N
110000867,AGE/CJ/NAJ_CGE_AJ,Assessoria Jurídica,N,N,N
110001824,AGE/CJ/NAJ_DER_PJ_ADM,COORDENAÇÃO DE PROCEDIMENTOS ADMINISTRATIVOS,N,N,N
110025167,AGE/CJ/NAJ_DER_PJ_CALCULOS,Nucleo de Contenciosos e Procedimento Administrativos - DER/PRC/NCPA/CALCULOS,N,N,N
110008051,AGE/CJ/NAJ_DER_PJ_CONSULTORI,Consultoria - DER/PRC/CON,N,N,N
110001826,AGE/CJ/NAJ_DER_PJ_CONTENCIOS,Coordenação do Contencioso - DER/PRC/CCO,N,N,N
110001823,AGE/CJ/NAJ_DER_PJ_CONTRATOS,Coordenação de Contratos e Convênios  - DER/PRC/NCC,N,N,N
110000884,AGE/CJ/NAJ_DER_PJ_GAB,Procuradoria - DER/PRC,N,N,N
110010273,AGE/CJ/NAJ_DER_PJ_MS,Coordenação do Contencioso,N,N,N
110010784,AGE/CJ/NAJ_EPAMIG_AJ,Assessoria Jurídica,N,N,N
110000907,AGE/CJ/NAJ_ESP_AJ,Assessoria Jurídica,N,N,N
110002112,AGE/CJ/NAJ_FAPEMIG_PJ,Procuradoria,N,N,N
110001889,AGE/CJ/NAJ_FCS_PJ,Procuradoria Jurídica,N,N,N
110001468,AGE/CJ/NAJ_FEAM_PJ,Procuradoria,N,N,N
110006340,AGE/CJ/NAJ_FHEMIG_PJ,Procuradoria,N,N,N
110031252,AGE/CJ/NAJ_FHEMIG_PJ_BLOQ.JUDI,FHEMIG/PROCURADORIA/BLOQUEIOS JUDICIAIS,N,N,N
110009873,AGE/CJ/NAJ_FHEMIG_PJ_CONSULT,FHEMIG/PROCURADORIA/CONSULTORIA,N,N,N
110009872,AGE/CJ/NAJ_FHEMIG_PJ_CONTENC,FHEMIG/PROCURADORIA/CONTENCIOSO,N,N,N
110023034,AGE/CJ/NAJ_FHEMIG_PJ_CONTEN_RP,FHEMIG/PROCURADORIA/CONTENCIOSO/RPV,N,N,N
110009884,AGE/CJ/NAJ_FHEMIG_PJ_S.CALCULO,FHEMIG/PROCURADORIA/SERVIÇOS DE CALCULOS,N,N,N
110001558,AGE/CJ/NAJ_FJP_PJ,Procuradoria,N,N,N
110001469,AGE/CJ/NAJ_FUCAM_PJ,Procuradoria Jurídica,N,N,N
110001749,AGE/CJ/NAJ_FUNED_PJ,Procuradoria,N,N,N
110029961,AGE/CJ/NAJ_FUNED_PRO_JUD,Procuradoria Judiciário,N,N,N
110000922,AGE/CJ/NAJ_GMG_AJ,Assessoria Jurídica,N,N,N
110001192,AGE/CJ/NAJ_HEMOMINAS_PJ,Procuradoria,N,N,N
110002946,AGE/CJ/NAJ_IDENE_PJ,Procuradoria,N,N,N
110001559,AGE/CJ/NAJ_IEF_PJ,Procuradoria,N,N,N
110001703,AGE/CJ/NAJ_IEPHA_PJ,Procuradoria,N,N,N
110000789,AGE/CJ/NAJ_IGAM_PJ,Procuradoria,N,N,N
110001473,AGE/CJ/NAJ_IMA_PJ,Procuradoria,N,N,N
110001747,AGE/CJ/NAJ_IPEM_PJ,Procuradoria,N,N,N
110000800,AGE/CJ/NAJ_IPSEMG_PJ,Procuradoria,N,N,N
110001944,AGE/CJ/NAJ_IPSEMG_PJ_Consultor,Procuradoria - Consultoria,N,N,N
110001937,AGE/CJ/NAJ_IPSEMG_PJ_Contencio,IPSEMG/PROC-Contencioso (Suporte ao Contencioso),S,N,N
110005904,AGE/CJ/NAJ_IPSEMG_PJ_Cálculos,Procuradoria - Cálculos,N,N,N
110008362,AGE/CJ/NAJ_IPSEMG_PJ_Proc.Ch,Procurador-Chefe,N,N,N
110001709,AGE/CJ/NAJ_JUCEMG_PJ,Procuradoria,N,N,N
110001173,AGE/CJ/NAJ_LEMG_PJ,Procuradoria Jurídica,N,N,N
110000832,AGE/CJ/NAJ_OGE_AJ,Assessoria Jurídica,N,N,N
110010740,AGE/CJ/NAJ_PMMG,PMMG/Advocacia Geral do Estado,N,N,N
110030133,AGE/CJ/NAJ_SCC_AJ,Assessoria Jurídica,N,N,N
110000984,AGE/CJ/NAJ_SEAPA_AJ,Assessoria Jurídica,N,N,N
110013718,AGE/CJ/NAJ_SECGERAL_AJ,Assessoria Jurídica,N,N,N
110000843,AGE/CJ/NAJ_SECULT_AJ,Assessoria Jurídica SECULT,N,N,N
110000752,AGE/CJ/NAJ_SEDESE_AJ,Assessoria Jurídica,N,N,N
110033651,AGE/CJ/NAJ_SEDESE_AJ_EMENDAS,Assessoria Jurídica - Emendas,N,N,N
